,point,cell,grid,lat,lon,z_score
8323,5296013,1396,Fibonacci (6.25 km),53.54632568359375,13.990066528320312,-0.8301436513872074
8324,5296068,1396,Fibonacci (6.25 km),53.547122955322266,11.063044548034668,-0.5982560666839634
8325,5296157,1396,Fibonacci (6.25 km),53.54841613769531,12.87204360961914,-0.6041697936467364
8326,5296212,1360,Fibonacci (6.25 km),53.54921340942383,9.94502067565918,0.5462067403400687
8328,5296301,1396,Fibonacci (6.25 km),53.55050659179688,11.754020690917969,-0.3396939317992817
8329,5296356,1360,Fibonacci (6.25 km),53.55130386352539,8.826997756958008,-0.13871876162543376
8330,5296390,1396,Fibonacci (6.25 km),53.55179977416992,13.56301975250244,-0.7635435526283161
8331,5296445,1396,Fibonacci (6.25 km),53.55259704589844,10.63599681854248,-0.2756305671827754
8332,5296500,1360,Fibonacci (6.25 km),53.55339431762695,7.708974361419678,-0.6434843230811598
8333,5296534,1396,Fibonacci (6.25 km),53.55389022827149,12.44499683380127,-0.3569044323710326
8334,5296589,1360,Fibonacci (6.25 km),53.5546875,9.517973899841309,0.3294850594767177
8335,5296678,1396,Fibonacci (6.25 km),53.55598068237305,11.326973915100098,-0.397241854051045
8336,5296733,1360,Fibonacci (6.25 km),53.55677795410156,8.399950981140137,-0.6577441833160284
8337,5296767,1396,Fibonacci (6.25 km),53.557273864746094,13.13597297668457,-0.7460757339267482
8338,5296822,1396,Fibonacci (6.25 km),53.55807113647461,10.20895004272461,0.3990325708565149
8339,5296877,1360,Fibonacci (6.25 km),53.55887222290039,7.281927585601807,-0.3066659047473943
8340,5296911,1396,Fibonacci (6.25 km),53.559364318847656,12.017950057983398,-0.5960377798335605
8341,5296966,1360,Fibonacci (6.25 km),53.56016540527344,9.090927124023438,-0.037952623937991176
8342,5297000,1396,Fibonacci (6.25 km),53.5606575012207,13.826949119567873,-0.7684263511590023
8343,5297055,1396,Fibonacci (6.25 km),53.56145477294922,10.899927139282228,-0.6793008884111357
8344,5297110,1360,Fibonacci (6.25 km),53.562255859375,7.972903728485107,-0.8423831810059688
8345,5297144,1396,Fibonacci (6.25 km),53.562747955322266,12.7089262008667,-0.5521692915315789
8346,5297199,1360,Fibonacci (6.25 km),53.56354904174805,9.781903266906738,0.27713651331643196
8347,5297288,1396,Fibonacci (6.25 km),53.56484222412109,11.590903282165527,-0.1951677662539949
8348,5297343,1360,Fibonacci (6.25 km),53.56563949584961,8.663880348205566,0.14760676829040287
8349,5297377,1396,Fibonacci (6.25 km),53.56613159179688,13.39990234375,-0.8008533556550587
8350,5297432,1396,Fibonacci (6.25 km),53.566932678222656,10.47287940979004,-0.023565644572598386
8351,5297487,1360,Fibonacci (6.25 km),53.56772994995117,7.545856952667236,-0.4644158088894815
8352,5297521,1396,Fibonacci (6.25 km),53.5682258605957,12.281879425048828,-0.6028077705270914
8353,5297576,1360,Fibonacci (6.25 km),53.56902313232422,9.354856491088867,-0.16753516741880617
8354,5297610,1396,Fibonacci (6.25 km),53.56951904296875,14.0908784866333,-0.698856226136261
8355,5297665,1396,Fibonacci (6.25 km),53.57031631469727,11.163856506347656,-0.5608198162742307
8357,5297754,1396,Fibonacci (6.25 km),53.57160949707031,12.972855567932127,-0.6454433151656405
8359,5297864,1360,Fibonacci (6.25 km),53.57320785522461,7.118810176849365,-0.4897918519116513
8360,5297898,1396,Fibonacci (6.25 km),53.57369995117188,11.854832649230955,-0.47634453512971675
8361,5297953,1360,Fibonacci (6.25 km),53.574501037597656,8.927809715270996,0.04046711379369882
8362,5297987,1396,Fibonacci (6.25 km),53.57499313354492,13.66383171081543,-0.8280024678206404
8363,5298042,1396,Fibonacci (6.25 km),53.5757942199707,10.736809730529783,-0.4519987176951497
8364,5298097,1360,Fibonacci (6.25 km),53.57659149169922,7.809786319732666,-0.7057200721240227
8365,5298131,1396,Fibonacci (6.25 km),53.57708740234375,12.545808792114258,-0.3999515371803763
8366,5298186,1360,Fibonacci (6.25 km),53.577884674072266,9.618785858154297,0.33834062487091277
8367,5298275,1396,Fibonacci (6.25 km),53.57917785644531,11.427785873413086,-0.2796433880722554
8369,5298364,1396,Fibonacci (6.25 km),53.58047103881836,13.23678493499756,-0.7953638239030733
8370,5298419,1396,Fibonacci (6.25 km),53.58127212524414,10.309762001037598,0.2718244341118754
8371,5298474,1360,Fibonacci (6.25 km),53.582069396972656,7.382739543914795,-0.4436626311643041
8372,5298508,1396,Fibonacci (6.25 km),53.58256530761719,12.118762016296388,-0.6099897026101252
8373,5298563,1360,Fibonacci (6.25 km),53.5833625793457,9.191739082336426,-0.1202239191979273
8374,5298597,1396,Fibonacci (6.25 km),53.58385848999024,13.92776107788086,-0.7518058955886064
8375,5298652,1396,Fibonacci (6.25 km),53.58465576171875,11.000739097595217,-0.6833177076496113
8376,5298741,1396,Fibonacci (6.25 km),53.5859489440918,12.809738159179688,-0.6639329723971187
8377,5298796,1360,Fibonacci (6.25 km),53.58675003051758,9.882715225219728,-0.8683390824839491
8378,5298885,1396,Fibonacci (6.25 km),53.58804321289063,11.691715240478516,-0.31363673107910045
8379,5298940,1360,Fibonacci (6.25 km),53.588844299316406,8.764692306518555,-0.1114601173893413
8380,5298974,1396,Fibonacci (6.25 km),53.58933639526367,13.500714302062988,-0.8094037129992915
8381,5299029,1396,Fibonacci (6.25 km),53.59013748168945,10.573692321777344,-0.2294978817742506
8382,5299084,1360,Fibonacci (6.25 km),53.59093475341797,7.646669387817383,-0.576585365870138
8383,5299118,1396,Fibonacci (6.25 km),53.5914306640625,12.382691383361816,-0.544174607290967
8384,5299173,1360,Fibonacci (6.25 km),53.592227935791016,9.455668449401855,0.03264952407449468
8385,5299207,1396,Fibonacci (6.25 km),53.59272384643555,14.191691398620604,-0.5635838513245769
8386,5299262,1396,Fibonacci (6.25 km),53.59352111816406,11.264668464660645,-0.5521165533106965
8387,5299317,1360,Fibonacci (6.25 km),53.59432220458984,8.337645530700684,-0.3403996317854333
8388,5299351,1396,Fibonacci (6.25 km),53.594818115234375,13.073667526245115,-0.7237106256273695
8389,5299406,1396,Fibonacci (6.25 km),53.59561538696289,10.146644592285156,0.6935453999764014
8390,5299461,1360,Fibonacci (6.25 km),53.59641647338867,7.2196221351623535,-0.3782332415926552
8391,5299495,1396,Fibonacci (6.25 km),53.59690856933594,11.955644607543944,-0.6263866035147814
8392,5299550,1360,Fibonacci (6.25 km),53.59770965576172,9.028621673583984,0.10335238946727181
8393,5299584,1396,Fibonacci (6.25 km),53.59820175170898,13.764644622802734,-0.7836982115826157
8394,5299639,1396,Fibonacci (6.25 km),53.599002838134766,10.837621688842772,-0.6995151560474667
8395,5299694,1360,Fibonacci (6.25 km),53.59980392456055,7.9105987548828125,-0.7487605186674532
8396,5299728,1396,Fibonacci (6.25 km),53.60029602050781,12.646620750427246,-0.5345079254242379
8397,5299783,1360,Fibonacci (6.25 km),53.6010971069336,9.719597816467283,0.528754439431177
8398,5299872,1396,Fibonacci (6.25 km),53.60239028930664,11.528597831726074,-0.1932795580650662
8399,5299927,1360,Fibonacci (6.25 km),53.60318756103516,8.601574897766113,0.09228115984639028
8400,5299961,1396,Fibonacci (6.25 km),53.60368347167969,13.337596893310549,-0.8619977616318371
8401,5300016,1396,Fibonacci (6.25 km),53.60448455810547,10.410574913024902,-0.04618403571356477
8402,5300071,1360,Fibonacci (6.25 km),53.605281829833984,7.483551979064941,-0.5348745733267996
8403,5300105,1396,Fibonacci (6.25 km),53.60577774047852,12.219573974609377,-0.5963377853992343
8404,5300160,1360,Fibonacci (6.25 km),53.6065788269043,9.292551040649414,-0.09182101226880865
8405,5300194,1396,Fibonacci (6.25 km),53.60707092285156,14.028573989868164,-0.6586195003691286
8406,5300249,1396,Fibonacci (6.25 km),53.607872009277344,11.101551055908203,-0.6151553972842492
8407,5300338,1396,Fibonacci (6.25 km),53.60916519165039,12.910550117492676,-0.674977494094307
8408,5300393,1360,Fibonacci (6.25 km),53.60996627807617,9.983528137207031,0.4126633519259045
8410,5300482,1396,Fibonacci (6.25 km),53.61125946044922,11.792527198791504,-0.399392755462538
8411,5300537,1360,Fibonacci (6.25 km),53.61205673217773,8.865504264831543,-0.035970075319666665
8412,5300571,1396,Fibonacci (6.25 km),53.612552642822266,13.601527214050291,-0.7936937816533198
8413,5300626,1396,Fibonacci (6.25 km),53.61335372924805,10.674504280090332,-0.31964721739922725
8414,5300681,1360,Fibonacci (6.25 km),53.61415100097656,7.747481346130371,-0.6888154437045373
8415,5300715,1396,Fibonacci (6.25 km),53.61464691162109,12.483503341674805,-0.4708724417747372
8417,5300859,1396,Fibonacci (6.25 km),53.61674118041992,11.365480422973633,-0.5128157885070707
8419,5300948,1396,Fibonacci (6.25 km),53.61803436279297,13.174479484558104,-0.8877932284909771
8420,5301003,1396,Fibonacci (6.25 km),53.61883544921875,10.24745750427246,0.3786249364979907
8421,5301058,1360,Fibonacci (6.25 km),53.61963653564453,7.3204345703125,-0.540230086037921
8422,5301092,1396,Fibonacci (6.25 km),53.6201286315918,12.056456565856934,-0.6702480843838303
8423,5301147,1360,Fibonacci (6.25 km),53.62092971801758,9.129433631896973,-0.004003992441468144
8424,5301181,1396,Fibonacci (6.25 km),53.62142562866211,13.865456581115724,-0.75017362550146
8425,5301236,1396,Fibonacci (6.25 km),53.62222290039063,10.938433647155762,-0.7339032492137796
8426,5301291,1360,Fibonacci (6.25 km),53.623023986816406,8.0114107131958,-0.5539827976162558
8427,5301325,1396,Fibonacci (6.25 km),53.62351989746094,12.747432708740234,-0.6697931093864375
8428,5301380,1360,Fibonacci (6.25 km),53.62431716918945,9.82041072845459,0.2422019583784017
8429,5301469,1396,Fibonacci (6.25 km),53.625614166259766,11.629409790039062,-0.22701051038190204
8430,5301524,1360,Fibonacci (6.25 km),53.62641143798828,8.702386856079102,-0.057744089928126276
8431,5301558,1396,Fibonacci (6.25 km),53.62690734863281,13.438409805297852,-0.8154936714797164
8432,5301613,1396,Fibonacci (6.25 km),53.627708435058594,10.51138687133789,-0.1614650568952677
8433,5301668,1360,Fibonacci (6.25 km),53.628509521484375,7.58436393737793,-0.5127729127467267
8434,5301702,1396,Fibonacci (6.25 km),53.62900161743164,12.320385932922363,-0.5659827619689368
8435,5301757,1360,Fibonacci (6.25 km),53.62980270385742,9.393362998962402,-0.20016228021433177
8436,5301791,1396,Fibonacci (6.25 km),53.63029861450195,14.129385948181152,-0.38816562441630564
8437,5301846,1396,Fibonacci (6.25 km),53.63109588623047,11.202363014221191,-0.5851682696750394
8439,5301935,1396,Fibonacci (6.25 km),53.63239288330078,13.011362075805664,-0.7850933979163388
8440,5301990,1396,Fibonacci (6.25 km),53.63319396972656,10.08434009552002,-0.040668681740676324
8442,5302079,1396,Fibonacci (6.25 km),53.63448715209961,11.893339157104492,-0.5565725934595621
8443,5302134,1360,Fibonacci (6.25 km),53.63528823852539,8.966316223144531,0.21137149176258396
8444,5302168,1396,Fibonacci (6.25 km),53.635780334472656,13.70233917236328,-0.860993629259644
8445,5302223,1396,Fibonacci (6.25 km),53.63658142089844,10.77531623840332,-0.5610837406297481
8446,5302278,1360,Fibonacci (6.25 km),53.63738250732422,7.848293304443359,-0.7504720648220661
8447,5302312,1396,Fibonacci (6.25 km),53.63787841796875,12.584315299987791,-0.5431701046840723
8448,5302367,1360,Fibonacci (6.25 km),53.63867568969727,9.657293319702148,0.20929688662574178
8449,5302456,1396,Fibonacci (6.25 km),53.63997268676758,11.46629238128662,-0.3603775268426881
8450,5302511,1360,Fibonacci (6.25 km),53.64077377319336,8.53926944732666,0.11944483985374049
8451,5302545,1396,Fibonacci (6.25 km),53.64126586914063,13.27529239654541,-0.8922329533736598
8452,5302600,1396,Fibonacci (6.25 km),53.642066955566406,10.34826946258545,0.11374016166093916
8453,5302655,1360,Fibonacci (6.25 km),53.64286804199219,7.421246528625488,-0.5687496473024578
8454,5302689,1396,Fibonacci (6.25 km),53.64336395263672,12.157268524169922,-0.6563795684668732
8455,5302744,1360,Fibonacci (6.25 km),53.644161224365234,9.23024559020996,-0.19144007586426096
8456,5302778,1396,Fibonacci (6.25 km),53.644657135009766,13.966268539428713,-0.5886495225379182
8457,5302833,1396,Fibonacci (6.25 km),53.64545822143555,11.03924560546875,-0.6714022150260082
8458,5302922,1396,Fibonacci (6.25 km),53.646751403808594,12.848244667053224,-0.7596297496844254
8459,5302977,1360,Fibonacci (6.25 km),53.647552490234375,9.921222686767578,0.07111714358354526
8460,5303066,1396,Fibonacci (6.25 km),53.64884948730469,11.73022174835205,-0.33104981257671073
8461,5303121,1360,Fibonacci (6.25 km),53.64965057373047,8.80319881439209,-0.024094917591176795
8462,5303155,1396,Fibonacci (6.25 km),53.65014266967773,13.53922176361084,-0.8469156093024363
8463,5303210,1396,Fibonacci (6.25 km),53.65094375610352,10.61219882965088,-0.3207863799192622
8464,5303265,1360,Fibonacci (6.25 km),53.6517448425293,7.685175895690918,-0.7260635755805899
8465,5303299,1396,Fibonacci (6.25 km),53.65224075317383,12.421197891235352,-0.5125184786892509
8466,5303354,1360,Fibonacci (6.25 km),53.65304183959961,9.494175910949709,-0.13545170445529203
8467,5303443,1396,Fibonacci (6.25 km),53.654335021972656,11.30317497253418,-0.6619897588909528
8469,5303532,1396,Fibonacci (6.25 km),53.65563201904297,13.112174987792969,-0.8607066520777805
8470,5303587,1396,Fibonacci (6.25 km),53.65643310546875,10.185152053833008,0.3482759574688941
8471,5303642,1360,Fibonacci (6.25 km),53.65723419189453,7.258129119873047,-0.46000459460539445
8472,5303676,1396,Fibonacci (6.25 km),53.6577262878418,11.99415111541748,-0.799343886418334
8473,5303731,1360,Fibonacci (6.25 km),53.65852737426758,9.06712818145752,0.11875605451370758
8474,5303765,1396,Fibonacci (6.25 km),53.65902328491211,13.80315113067627,-0.7744434857193171
8475,5303820,1396,Fibonacci (6.25 km),53.65982437133789,10.876128196716309,-0.7411404454175656
8476,5303875,1360,Fibonacci (6.25 km),53.66062545776367,7.949105262756348,-0.672670216805946
8477,5303909,1396,Fibonacci (6.25 km),53.6611213684082,12.68512725830078,-0.6866159001126398
8478,5303964,1360,Fibonacci (6.25 km),53.66191864013672,9.758105278015137,0.17207808315851503
8479,5304053,1396,Fibonacci (6.25 km),53.66321563720703,11.56710433959961,-0.31634720453423026
8480,5304108,1360,Fibonacci (6.25 km),53.66401672363281,8.640081405639648,0.039481836410414306
8481,5304142,1396,Fibonacci (6.25 km),53.664512634277344,13.376104354858398,-0.8909972831225436
8482,5304197,1396,Fibonacci (6.25 km),53.665313720703125,10.449081420898438,-0.10251364492856797
8483,5304252,1360,Fibonacci (6.25 km),53.666114807128906,7.522058486938477,-0.48546954706336104
8484,5304286,1396,Fibonacci (6.25 km),53.66660690307617,12.25808048248291,-0.6325015193473773
8485,5304341,1360,Fibonacci (6.25 km),53.66740798950195,9.331058502197266,-0.14900883232011142
8486,5304375,1396,Fibonacci (6.25 km),53.66790390014648,14.0670804977417,-0.5174399161481636
8487,5304430,1396,Fibonacci (6.25 km),53.668704986572266,11.140057563781738,-0.642402177902642
8488,5304519,1396,Fibonacci (6.25 km),53.67000198364258,12.949057579040527,-0.8237659851815272
8489,5304574,1396,Fibonacci (6.25 km),53.67080307006836,10.022034645080566,0.051610698034641946
8491,5304663,1396,Fibonacci (6.25 km),53.672096252441406,11.83103370666504,-0.5281261349582985
8492,5304718,1360,Fibonacci (6.25 km),53.67289733886719,8.904011726379395,0.15902874802707406
8493,5304752,1396,Fibonacci (6.25 km),53.67339324951172,13.640033721923828,-0.8686828258558793
8494,5304807,1396,Fibonacci (6.25 km),53.6741943359375,10.713010787963867,-0.4566106733765481
8495,5304862,1360,Fibonacci (6.25 km),53.67499542236328,7.785987854003906,-0.8100802622977643
8496,5304896,1396,Fibonacci (6.25 km),53.67549133300781,12.522010803222656,-0.5806356102891416
8497,5304951,1360,Fibonacci (6.25 km),53.6762924194336,9.594987869262695,-0.05804466864690302
8498,5305040,1396,Fibonacci (6.25 km),53.67758941650391,11.403986930847168,-0.731970933975953
8500,5305129,1396,Fibonacci (6.25 km),53.67888259887695,13.212986946105955,-0.9665591835939843
8501,5305184,1396,Fibonacci (6.25 km),53.679683685302734,10.285964012145996,0.057565609791248126
8502,5305239,1360,Fibonacci (6.25 km),53.68048477172852,7.358941078186035,-0.5681649003713315
8503,5305273,1396,Fibonacci (6.25 km),53.68098068237305,12.094963073730469,-0.7859208495604055
8504,5305328,1360,Fibonacci (6.25 km),53.68178176879883,9.167941093444824,-0.05541930987136701
8505,5305362,1396,Fibonacci (6.25 km),53.68227767944336,13.903963088989258,-0.7207734798218438
8506,5305417,1396,Fibonacci (6.25 km),53.68307876586914,10.976940155029297,-0.6547448529062289
8507,5305506,1396,Fibonacci (6.25 km),53.68437576293945,12.785940170288086,-0.7765311477622895
8508,5305561,1360,Fibonacci (6.25 km),53.685176849365234,9.858917236328123,0.15605916985206983
8509,5305650,1396,Fibonacci (6.25 km),53.68647384643555,11.667916297912598,-0.5463804406014531
8510,5305705,1360,Fibonacci (6.25 km),53.68727493286133,8.740894317626953,-0.08854599104531893
8511,5305739,1396,Fibonacci (6.25 km),53.687767028808594,13.476916313171388,-0.8913831326042949
8512,5305794,1396,Fibonacci (6.25 km),53.688568115234375,10.549893379211426,-0.29549933312747034
8514,5305883,1396,Fibonacci (6.25 km),53.68986511230469,12.358893394470217,-0.6442816101233082
8515,5305938,1360,Fibonacci (6.25 km),53.69066619873047,9.431870460510254,-0.19336840883886686
8516,5306027,1396,Fibonacci (6.25 km),53.69196319580078,11.240869522094728,-0.7123976239730149
8517,5306116,1396,Fibonacci (6.25 km),53.69326019287109,13.049869537353516,-0.8895549931076678
8518,5306171,1396,Fibonacci (6.25 km),53.69406127929688,10.122846603393556,0.10287777516341785
8520,5306260,1396,Fibonacci (6.25 km),53.69535827636719,11.931845664978027,-0.7569244405067003
8521,5306315,1360,Fibonacci (6.25 km),53.69615936279297,9.004823684692383,0.04859239185115858
8522,5306349,1396,Fibonacci (6.25 km),53.6966552734375,13.740845680236816,-0.8715522263705991
8523,5306404,1396,Fibonacci (6.25 km),53.69745635986328,10.813822746276855,-0.6243320818466951
8524,5306459,1360,Fibonacci (6.25 km),53.69825744628906,7.886800289154053,-0.6826351556553236
8525,5306493,1396,Fibonacci (6.25 km),53.6987533569336,12.622822761535645,-0.6600924408892119
8526,5306548,1360,Fibonacci (6.25 km),53.699554443359375,9.695799827575684,0.09558353559739523
8527,5306637,1396,Fibonacci (6.25 km),53.70085144042969,11.504798889160156,-0.5902629465741625
8528,5306692,1360,Fibonacci (6.25 km),53.70165252685547,8.577776908874512,-0.07144498052235088
8529,5306726,1396,Fibonacci (6.25 km),53.7021484375,13.313798904418944,-0.9526915830588101
8530,5306781,1396,Fibonacci (6.25 km),53.70294952392578,10.386775970458984,0.03996218144866149
8532,5306870,1396,Fibonacci (6.25 km),53.704246520996094,12.195775985717772,-0.8163868729824023
8533,5306925,1360,Fibonacci (6.25 km),53.70504760742188,9.268753051757812,-0.17422270658836406
8534,5306959,1396,Fibonacci (6.25 km),53.705543518066406,14.004775047302246,-0.6282336312753642
8535,5307014,1396,Fibonacci (6.25 km),53.70634460449219,11.077752113342283,-0.7361892749257276
8536,5307103,1396,Fibonacci (6.25 km),53.7076416015625,12.886752128601074,-0.8831396876225189
8537,5307158,1360,Fibonacci (6.25 km),53.70844268798828,9.959729194641112,0.17609353983153675
8538,5307247,1396,Fibonacci (6.25 km),53.709739685058594,11.768728256225586,-0.5813632250237606
8539,5307302,1360,Fibonacci (6.25 km),53.71054458618164,8.841706275939941,-0.16409878886860363
8540,5307336,1396,Fibonacci (6.25 km),53.711036682128906,13.577728271484377,-0.8927366830497337
8541,5307391,1396,Fibonacci (6.25 km),53.71184158325195,10.650705337524414,-0.4744368831883836
8543,5307480,1396,Fibonacci (6.25 km),53.713138580322266,12.459705352783203,-0.6260789268127163
8544,5307535,1360,Fibonacci (6.25 km),53.71393966674805,9.532682418823242,-0.15918014386154783
8545,5307624,1396,Fibonacci (6.25 km),53.71523666381836,11.341681480407717,-0.8247142703577827
8547,5307713,1396,Fibonacci (6.25 km),53.71653366088867,13.150681495666504,-0.9688645712017602
8548,5307768,1396,Fibonacci (6.25 km),53.71733474731445,10.223658561706545,0.1121818162412861
8549,5307857,1396,Fibonacci (6.25 km),53.718631744384766,12.032658576965332,-0.9636427954381881
8550,5307912,1360,Fibonacci (6.25 km),53.71943283081055,9.105635643005373,-0.08787969458513532
8551,5307946,1396,Fibonacci (6.25 km),53.71992874145508,13.841657638549805,-0.9128703712769004
8552,5308001,1396,Fibonacci (6.25 km),53.72072982788086,10.914634704589844,-0.7054271387862401
8553,5308090,1396,Fibonacci (6.25 km),53.72203063964844,12.723634719848633,-0.8407688961180869
8554,5308145,1360,Fibonacci (6.25 km),53.72283172607422,9.796611785888672,0.4427198403427396
8555,5308234,1396,Fibonacci (6.25 km),53.72412872314453,11.605610847473145,-0.6206119699287916
8556,5308289,1360,Fibonacci (6.25 km),53.72492980957031,8.6785888671875,0.043534125826164526
8557,5308323,1396,Fibonacci (6.25 km),53.72542572021485,13.414610862731934,-1.001708260974997
8558,5308378,1396,Fibonacci (6.25 km),53.72622680664063,10.487587928771973,-0.16768336144930443
8559,5308467,1396,Fibonacci (6.25 km),53.72752380371094,12.296587944030762,-0.7129354045238361
8560,5308522,1360,Fibonacci (6.25 km),53.728328704833984,9.3695650100708,-0.2711272978570297
8561,5308556,1396,Fibonacci (6.25 km),53.72882461547852,14.105587005615234,-0.4586941331080985
8562,5308611,1396,Fibonacci (6.25 km),53.7296257019043,11.178564071655272,-0.8195434869487896
8563,5308700,1396,Fibonacci (6.25 km),53.73092269897461,12.987564086914062,-0.936751900004875
8564,5308755,1396,Fibonacci (6.25 km),53.73172378540039,10.060541152954102,0.10433609502124302
8565,5308844,1396,Fibonacci (6.25 km),53.73302459716797,11.86954116821289,-0.8495128900693427
8566,5308899,1360,Fibonacci (6.25 km),53.73382568359375,8.94251823425293,-0.11159980626924504
8567,5308933,1396,Fibonacci (6.25 km),53.73432159423828,13.678540229797363,-0.913118824811688
8568,5308988,1396,Fibonacci (6.25 km),53.73512268066406,10.751517295837402,-0.48998090270094935
8570,5309077,1396,Fibonacci (6.25 km),53.736419677734375,12.560517311096191,-0.6965525988295982
8571,5309132,1360,Fibonacci (6.25 km),53.73722457885742,9.63349437713623,0.005083011085639733
8572,5309221,1396,Fibonacci (6.25 km),53.73852157592773,11.44249439239502,-0.9019386289815927
8573,5309276,1360,Fibonacci (6.25 km),53.73932266235352,8.515471458435059,0.12760501521949366
8574,5309310,1396,Fibonacci (6.25 km),53.73981857299805,13.251493453979492,-0.9759446289785892
8575,5309365,1396,Fibonacci (6.25 km),53.74061965942383,10.324470520019531,-0.0779511929787206
8576,5309454,1396,Fibonacci (6.25 km),53.741920471191406,12.13347053527832,-1.015449220391986
8577,5309509,1360,Fibonacci (6.25 km),53.74272155761719,9.20644760131836,-0.2023085022253519
8578,5309543,1396,Fibonacci (6.25 km),53.74321746826172,13.942469596862791,-0.8826021481544004
8579,5309598,1396,Fibonacci (6.25 km),53.7440185546875,11.015446662902832,-0.7346293388770712
8580,5309687,1396,Fibonacci (6.25 km),53.74531936645508,12.82444667816162,-0.9228951082181649
8581,5309742,1360,Fibonacci (6.25 km),53.74612045288086,9.89742374420166,0.14086225636848212
8582,5309831,1396,Fibonacci (6.25 km),53.74741744995117,11.70642375946045,-0.7917749092230865
8583,5309886,1360,Fibonacci (6.25 km),53.74821853637695,8.779400825500488,-0.22129890185528164
8584,5309920,1396,Fibonacci (6.25 km),53.74871826171875,13.515422821044922,-0.9919691212601645
8585,5309975,1396,Fibonacci (6.25 km),53.74951934814453,10.58839988708496,-0.3299182054187427
